arm,design,cavity,n_main,appendage,gap1,gap2,gap3,gap4
arm4rep_s3004,d059,66.7,179.0,7.0,19,23,26,25
arm4rep_s3004,d090,0.0,190.0,8.0,19,16,34,28
arm4rep_s3004,d083,0.0,177.0,5.0,10,19,35,29
arm4rep_s3004,d088,0.0,180.0,10.0,18,15,30,31
arm4rep_s3004,d021,20.7,199.0,9.0,16,22,33,35
arm4rep_s3004,d075,120.3,159.0,1.0,12,18,20,27
arm4rep_s3004,d092,0.0,190.0,9.0,20,20,33,27
arm1slack_s3001,d018,13.8,210.0,22.0,17,19,35,50
arm4rep_s3004,d082,0.0,204.0,25.0,20,30,27,38
arm4rep_s3004,d094,0.0,204.0,13.0,16,24,35,37
arm4rep_s3004,d098,0.0,184.0,24.0,14,24,26,33
arm4rep_s3004,d111,0.0,187.0,10.0,14,30,28,32
arm4rep_s3004,d120,0.0,181.0,3.0,18,22,26,31
arm4rep_s3004,d063,116.2,175.0,5.0,15,22,34,26
arm4rep_s3004,d058,72.8,168.0,3.0,16,16,23,31
arm4rep_s3004,d104,0.0,182.0,8.0,20,29,22,25
arm4rep_s3004,d139,0.0,182.0,10.0,10,23,28,32
arm4rep_s3004,d116,0.0,168.0,1.0,14,22,21,29
arm4rep_s3004,d119,0.0,166.0,1.0,11,23,25,29
arm4rep_s3004,d100,0.0,196.0,27.0,19,20,30,39
arm4rep_s3004,d068,0.0,200.0,30.0,17,23,28,37
arm4rep_s3004,d133,0.0,178.0,7.0,19,24,21,35
arm4rep_s3004,d129,0.0,188.0,7.0,18,18,34,34
arm4rep_s3004,d131,0.0,183.0,18.0,20,17,29,30
arm4rep_s3004,d096,0.0,180.0,7.0,16,16,32,27
arm4rep_s3004,d108,0.0,188.0,30.0,12,16,34,38
arm4rep_s3004,d097,0.0,212.0,9.0,18,27,35,36
arm4rep_s3004,d147,0.0,195.0,7.0,17,27,35,25
arm4rep_s3004,d012,30.0,177.0,5.0,11,16,33,30
arm4rep_s3004,d107,0.0,198.0,25.0,17,22,33,39
arm4rep_s3004,d134,0.0,173.0,13.0,15,17,20,33
arm4rep_s3004,d061,89.2,190.0,6.0,12,30,32,26
arm4rep_s3004,d144,0.0,185.0,27.0,16,21,28,34
arm4rep_s3004,d141,0.0,178.0,6.0,14,27,26,29
arm4rep_s3004,d099,0.0,184.0,10.0,15,20,29,26
arm4rep_s3004,d149,0.0,186.0,6.0,15,29,29,26
arm4rep_s3004,d103,67.2,169.0,1.0,13,23,23,31
arm4rep_s3004,d033,165.7,197.0,8.0,19,25,31,29
arm4rep_s3004,d089,114.5,170.0,2.0,10,15,29,25
arm4rep_s3004,d132,0.0,196.0,8.0,17,27,34,32
arm4rep_s3004,d106,151.4,175.0,7.0,16,19,21,29
arm4rep_s3004,d091,86.6,188.0,4.0,19,30,20,28
arm4rep_s3004,d113,21.2,175.0,20.0,17,17,33,29
arm4rep_s3004,d118,0.0,199.0,28.0,16,27,24,40
arm4rep_s3004,d004,164.2,189.0,4.0,12,29,24,25
arm4rep_s3004,d076,115.3,182.0,5.0,12,28,28,25
arm4rep_s3004,d128,164.4,162.0,7.0,11,15,21,29
arm4rep_s3004,d145,28.7,190.0,22.0,16,16,25,34
arm4rep_s3004,d016,119.9,191.0,4.0,20,30,29,28
arm4rep_s3004,d105,30.9,189.0,20.0,14,27,33,31
arm4rep_s3004,d135,144.9,192.0,7.0,12,22,28,30
arm4rep_s3004,d112,68.3,185.0,4.0,19,28,25,26
arm4rep_s3004,d157,0.0,183.0,12.0,18,25,24,34
arm4rep_s3004,d177,0.0,176.0,7.0,18,16,32,30
arm1slack_s3001,d202,0.0,209.0,24.0,19,25,37,37
arm4rep_s3004,d155,157.2,160.0,1.0,12,15,29,25
arm4rep_s3004,d163,0.0,173.0,5.0,14,21,27,29
arm4rep_s3004,d188,122.7,165.0,4.0,15,15,20,27
arm1slack_s3001,d162,0.0,192.0,17.0,20,18,35,35
arm4rep_s3004,d193,0.0,184.0,1.0,18,23,27,29
arm1slack_s3001,d244,0.0,190.0,29.0,10,18,35,48
arm1slack_s3001,d153,0.0,195.0,11.0,11,30,32,35
arm4rep_s3004,d189,0.0,184.0,4.0,11,23,35,25
arm1slack_s3001,d198,0.0,205.0,25.0,20,16,35,50
arm4rep_s3004,d181,0.0,183.0,2.0,19,27,27,25
arm1slack_s3001,d196,0.0,205.0,19.0,13,30,36,48
arm4rep_s3004,d204,0.0,167.0,1.0,10,19,27,25
arm1slack_s3001,d248,0.0,211.0,31.0,14,30,40,47
arm1slack_s3001,d254,0.0,212.0,34.0,11,29,43,41
arm4rep_s3004,d154,0.0,172.0,14.0,17,15,24,35
arm1slack_s3001,d231,0.0,193.0,28.0,12,21,32,36
arm4rep_s3004,d156,0.0,198.0,3.0,17,29,34,32
arm1slack_s3001,d170,0.0,226.0,26.0,20,20,43,50
arm4rep_s3004,d184,0.0,197.0,6.0,20,27,29,29
arm4rep_s3004,d195,0.0,166.0,25.0,13,16,21,39
arm1slack_s3001,d228,0.0,202.0,31.0,16,19,33,38
arm1slack_s3001,d163,0.0,194.0,29.0,13,15,38,39
arm4rep_s3004,d199,0.0,195.0,27.0,12,30,28,38
arm4rep_s3004,d168,0.0,188.0,27.0,19,18,35,34
arm4rep_s3004,d210,0.0,180.0,8.0,12,27,21,33
arm1slack_s3001,d247,0.0,194.0,30.0,15,20,32,39
arm4rep_s3004,d158,0.0,181.0,24.0,12,20,27,39
arm1slack_s3001,d225,0.0,221.0,17.0,18,26,45,35
arm4rep_s3004,d216,0.0,163.0,1.0,12,22,24,29
arm1slack_s3001,d188,0.0,207.0,29.0,14,26,33,39
arm4rep_s3004,d186,128.7,180.0,1.0,20,29,20,32
arm4rep_s3004,d221,0.0,172.0,20.0,12,16,32,34
arm1slack_s3001,d183,0.0,196.0,30.0,18,18,42,35
arm1slack_s3001,d249,0.0,213.0,14.0,17,28,36,42
arm4rep_s3004,d170,0.0,195.0,15.0,14,27,20,36
arm1slack_s3001,d181,0.0,188.0,18.0,11,19,31,36
arm1slack_s3001,d220,0.0,199.0,27.0,12,22,38,44
arm4rep_s3004,d207,119.9,162.0,1.0,18,16,20,28
arm1slack_s3001,d204,0.0,214.0,26.0,17,28,38,41
arm4rep_s3004,d201,0.0,177.0,12.0,13,16,27,35
arm4rep_s3004,d206,0.0,183.0,26.0,18,20,22,40
arm1slack_s3001,d233,0.0,201.0,29.0,15,20,32,40
arm4rep_s3004,d198,0.0,191.0,7.0,19,20,34,27
arm4rep_s3004,d225,0.0,190.0,11.0,16,29,23,35
arm1slack_s3001,d214,0.0,205.0,28.0,14,20,34,43
arm1slack_s3001,d219,0.0,204.0,17.0,12,20,37,44
arm4rep_s3004,d159,0.0,177.0,30.0,15,19,23,40
arm4rep_s3004,d228,0.0,182.0,4.0,12,23,27,32
arm4rep_s3004,d208,40.2,190.0,10.0,12,21,34,26
arm4rep_s3004,d217,0.0,183.0,32.0,12,18,30,40
arm1slack_s3001,d195,0.0,208.0,18.0,15,26,36,47
arm1slack_s3001,d155,0.0,192.0,9.0,18,20,39,35
arm4rep_s3004,d174,49.5,170.0,1.0,18,21,26,28
arm4rep_s3004,d209,0.0,166.0,10.0,10,24,30,25
arm4rep_s3004,d236,0.0,194.0,7.0,17,28,22,35
arm1slack_s3001,d185,0.0,213.0,33.0,15,30,31,43
arm1slack_s3001,d167,0.0,202.0,19.0,14,15,45,46
arm1slack_s3001,d191,0.0,221.0,29.0,20,27,41,44
arm4rep_s3004,d238,0.0,175.0,1.0,11,20,29,32
arm1slack_s3001,d172,0.0,217.0,29.0,17,22,38,42
arm1slack_s3001,d160,0.0,207.0,20.0,16,23,32,48
arm4rep_s3004,d232,0.0,173.0,10.0,11,25,25,34
arm4rep_s3004,d235,0.0,190.0,6.0,15,25,25,34
arm4rep_s3004,d191,0.0,180.0,21.0,10,17,35,27
arm4rep_s3004,d246,0.0,175.0,9.0,10,17,33,30
arm4rep_s3004,d244,0.0,175.0,9.0,11,26,21,35
arm4rep_s3004,d249,0.0,186.0,9.0,16,17,27,32
arm1slack_s3001,d166,0.0,209.0,33.0,12,24,45,37
arm1slack_s3001,d227,0.0,209.0,18.0,13,16,36,48
arm4rep_s3004,d213,115.6,179.0,4.0,11,22,30,26
arm4rep_s3004,d240,0.0,174.0,26.0,13,16,35,27
arm4rep_s3004,d205,0.0,175.0,3.0,13,27,26,25
arm4rep_s3004,d254,0.0,193.0,17.0,18,23,29,38
arm4rep_s3004,d258,0.0,172.0,16.0,14,20,24,31
arm4rep_s3004,d229,0.0,182.0,1.0,11,28,29,32
arm4rep_s3004,d222,84.7,186.0,3.0,18,30,24,29
arm4rep_s3004,d173,31.5,183.0,24.0,12,25,27,38
arm4rep_s3004,d260,69.1,172.0,2.0,16,20,21,26
arm4rep_s3004,d233,0.0,185.0,8.0,10,28,22,33
arm4rep_s3004,d153,97.4,189.0,7.0,15,26,27,32
arm4rep_s3004,d183,96.1,184.0,4.0,14,26,35,26
arm4rep_s3004,d190,116.6,188.0,8.0,16,26,25,28
arm4rep_s3004,d245,158.5,180.0,1.0,19,28,21,31
arm4rep_s3004,d227,129.6,186.0,11.0,16,22,30,26
arm4rep_s3004,d226,25.3,187.0,2.0,18,22,28,26
arm4rep_s3004,d247,0.0,194.0,27.0,18,21,25,39
arm4rep_s3004,d165,106.7,193.0,4.0,15,27,24,28
arm4rep_s3004,d230,40.0,187.0,10.0,15,21,34,28
arm4rep_s3004,d219,80.1,182.0,8.0,15,29,30,26
arm4rep_s3004,d196,220.8,194.0,7.0,12,29,33,27
